ID;Perioden;PrijsindexBestaandeKoopwoningen_1;OntwikkelingTOVVoorgaandePeriode_2;OntwikkelingTOVEenJaarEerder_3;AantalVerkochteWoningen_4;OntwikkelingTOVVoorgaandePeriode_5;OntwikkelingTOVEenJaarEerder_6;GemiddeldeVerkoopprijs_7;TotaleWaardeVerkoopprijzen_8;Year;Month
39;1997-05-01;51.9;0.7;11.7;15688;2.3;0.9;110859;1739;1997;05
40;1997-06-01;52.4;0.8;12.1;16144;2.9;18.3;112207;1811;1997;06
42;1997-07-01;53.0;1.2;11.7;18483;14.5;3.8;114344;2113;1997;07
43;1997-08-01;53.7;1.4;11.8;15506;-16.1;3.9;116161;1801;1997;08
44;1997-09-01;53.7;0.0;10.7;15630;0.8;12.8;116411;1820;1997;09
46;1997-10-01;54.4;1.2;11.7;16640;6.5;12.6;116785;1943;1997;10
47;1997-11-01;54.8;0.7;11.4;14415;-13.4;-1.9;115768;1669;1997;11
48;1997-12-01;54.8;0.0;11.1;22037;52.9;9.0;117870;2598;1997;12
51;1998-01-01;55.3;0.9;10.7;10084;-54.2;-5.4;118196;1192;1998;01
52;1998-02-01;56.1;1.4;10.8;12637;25.3;6.8;118483;1497;1998;02
53;1998-03-01;56.4;0.7;10.2;15407;21.9;16.1;119635;1843;1998;03
55;1998-04-01;56.8;0.7;10.1;15145;-1.7;-1.2;120019;1818;1998;04
56;1998-05-01;57.4;1.0;10.5;16299;7.6;3.9;122503;1997;1998;05
57;1998-06-01;57.9;0.9;10.5;15966;-2.0;-1.1;121460;1939;1998;06
59;1998-07-01;58.5;1.1;10.5;19679;23.3;6.5;126636;2492;1998;07
60;1998-08-01;59.3;1.4;10.5;16435;-16.5;6.0;127865;2101;1998;08
61;1998-09-01;60.0;1.2;11.8;15039;-8.5;-3.8;127758;1921;1998;09
63;1998-10-01;60.6;0.9;11.4;16428;9.2;-1.3;128238;2107;1998;10
64;1998-11-01;61.1;0.9;11.6;16189;-1.5;12.3;127574;2065;1998;11
65;1998-12-01;61.2;0.2;11.8;23314;44.0;5.8;129378;3016;1998;12
68;1999-01-01;62.6;2.2;13.2;10756;-53.9;6.7;130266;1401;1999;01
69;1999-02-01;63.3;1.2;12.9;13909;29.3;10.1;130784;1819;1999;02
70;1999-03-01;64.2;1.5;13.8;17558;26.2;14.0;133544;2345;1999;03
72;1999-04-01;65.1;1.4;14.6;17210;-2.0;13.6;138285;2380;1999;04
73;1999-05-01;66.2;1.6;15.3;15879;-7.7;-2.6;138572;2200;1999;05
74;1999-06-01;67.0;1.3;15.8;17122;7.8;7.2;141717;2426;1999;06
76;1999-07-01;68.4;2.0;16.8;20455;19.5;3.9;146087;2988;1999;07
77;1999-08-01;69.8;2.1;17.7;18760;-8.3;14.1;148966;2795;1999;08
