ID;Perioden;PrijsindexBestaandeKoopwoningen_1;OntwikkelingTOVVoorgaandePeriode_2;OntwikkelingTOVEenJaarEerder_3;AantalVerkochteWoningen_4;OntwikkelingTOVVoorgaandePeriode_5;OntwikkelingTOVEenJaarEerder_6;GemiddeldeVerkoopprijs_7;TotaleWaardeVerkoopprijzen_8;Year;Month
416;2019-07-01;132.4;1.1;7.0;21039;35.8;7.5;309689;6516;2019;07
417;2019-08-01;132.5;0.1;5.7;19583;-6.9;-6.3;316183;6192;2019;08
418;2019-09-01;133.4;0.7;6.1;18313;-6.5;11.3;314225;5754;2019;09
420;2019-10-01;134.1;0.6;6.3;18804;2.7;0.0;312772;5881;2019;10
421;2019-11-01;134.8;0.5;5.8;18346;-2.4;0.3;312866;5740;2019;11
422;2019-12-01;134.8;0.0;6.5;22573;23.0;16.2;312957;7064;2019;12
425;2020-01-01;136.9;1.5;6.3;17525;-22.4;15.9;329450;5774;2020;01
426;2020-02-01;137.2;0.2;6.6;15427;-12.0;-0.3;320889;4950;2020;02
427;2020-03-01;138.3;0.8;7.0;18627;20.7;10.6;326529;6082;2020;03
429;2020-04-01;139.3;0.7;7.3;18854;1.2;9.0;326232;6151;2020;04
430;2020-05-01;140.4;0.8;7.7;18347;-2.7;-6.9;333093;6111;2020;05
431;2020-06-01;140.9;0.3;7.6;17722;-3.4;14.4;324195;5745;2020;06
433;2020-07-01;142.2;0.9;7.4;22571;27.4;7.3;336957;7605;2020;07
434;2020-08-01;143.4;0.9;8.2;19034;-15.7;-2.8;336277;6401;2020;08
435;2020-09-01;144.8;1.0;8.6;20601;8.2;12.5;345443;7116;2020;09
437;2020-10-01;146.3;1.1;9.1;22146;7.5;17.8;350244;7756;2020;10
438;2020-11-01;146.8;0.3;8.9;18449;-16.7;0.6;344217;6350;2020;11
439;2020-12-01;146.1;-0.5;8.3;26208;42.1;16.1;333199;8732;2020;12
442;2021-01-01;149.7;2.5;9.3;24516;-6.5;39.9;357458;8763;2021;01
443;2021-02-01;151.4;1.2;10.4;16871;-31.2;9.4;369070;6227;2021;02
444;2021-03-01;153.9;1.6;11.3;25240;49.6;35.5;407014;10273;2021;03
446;2021-04-01;155.3;0.9;11.5;18954;-24.9;0.5;362525;6871;2021;04
447;2021-05-01;158.4;2.0;12.9;16126;-14.9;-12.1;361001;5822;2021;05
448;2021-06-01;161.4;1.9;14.6;17707;9.8;-0.1;373384;6612;2021;06
450;2021-07-01;165.3;2.4;16.3;19043;7.5;-15.6;395786;7537;2021;07
451;2021-08-01;168.9;2.1;17.8;17257;-9.4;-9.3;402308;6943;2021;08
452;2021-09-01;171.5;1.6;18.5;17575;1.8;-14.7;405165;7121;2021;09
454;2021-10-01;173.2;1.0;18.3;16191;-7.9;-26.9;408987;6622;2021;10
455;2021-11-01;176.3;1.8;20.1;16048;-0.9;-13.0;403941;6482;2021;11
456;2021-12-01;175.8;-0.3;20.4;20559;28.1;-21.6;396848;8159;2021;12
459;2022-01-01;181.3;3.1;21.1;14053;-31.6;-42.7;434886;6111;2022;01
460;2022-02-01;182.1;0.4;20.2;14037;-0.1;-16.8;419361;5887;2022;02
461;2022-03-01;183.9;1.0;19.5;15833;12.8;-37.3;426183;6748;2022;03
463;2022-04-01;185.9;1.1;19.7;15972;0.9;-15.7;429020;6852;2022;04
464;2022-05-01;188.2;1.2;18.8;15749;-1.4;-2.3;429077;6758;2022;05
465;2022-06-01;188.3;0.1;16.6;15661;-0.6;-11.6;428932;6718;2022;06
467;2022-07-01;189.2;0.5;14.5;16417;4.8;-13.8;445241;7310;2022;07
468;2022-08-01;189.0;-0.1;11.9;16405;-0.1;-4.9;446263;7321;2022;08
469;2022-09-01;187.6;-0.7;9.4;17631;7.5;0.3;437996;7722;2022;09
471;2022-10-01;186.7;-0.5;7.8;14863;-15.7;-8.2;428079;6363;2022;10
472;2022-11-01;184.9;-1.0;4.9;15146;1.9;-5.6;423124;6409;2022;11
473;2022-12-01;180.6;-2.3;2.7;21336;40.9;3.8;401436;8565;2022;12
476;2023-01-01;183.3;1.5;1.1;13126;-38.5;-6.6;424681;5574;2023;01
477;2023-02-01;180.6;-1.5;-0.8;11858;-9.7;-15.5;410189;4864;2023;02
478;2023-03-01;179.6;-0.5;-2.3;15453;30.3;-2.4;415141;6415;2023;03
480;2023-04-01;177.7;-1.1;-4.4;12816;-17.1;-19.8;401374;5144;2023;04
481;2023-05-01;177.6;-0.1;-5.6;15099;17.8;-4.1;403913;6099;2023;05
482;2023-06-01;178.0;0.2;-5.5;16585;9.8;5.9;412943;6849;2023;06
484;2023-07-01;178.9;0.5;-5.5;14925;-10.0;-9.1;413917;6178;2023;07
485;2023-08-01;180.0;0.6;-4.8;15934;6.8;-2.9;416595;6638;2023;08
486;2023-09-01;181.0;0.6;-3.5;16089;1.0;-8.7;422175;6792;2023;09
