GemiddeldeWOZWaardeVanWoningen_98;Gemeentenaam;Bevolkingsdichtheid_57;AfstandTotHuisartsenpraktijk_209;AfstandTotKinderdagverblijf_214;AfstandTotBibliotheek_226;AfstandTotOpritHoofdverkeersweg_232;AfstandTotTreinstation_233
266.0;99;421.0;1.3;0.8;2.6;1.6;2.7
352.0;100;558.0;0.9;0.6;1.8;2.9;5.7
503.0;101;1419.0;0.8;0.5;1.4;1.5;2.2
261.0;102;2011.0;0.9;0.6;1.6;1.6;2.1
276.0;103;4491.0;0.7;0.5;1.8;1.8;1.8
;Grave;;;;;;
311.0;104;6712.0;0.7;0.4;1.2;3.3;3.3
252.0;105;1266.0;0.9;0.6;1.6;1.1;2.6
285.0;106;194.0;1.8;1.2;3.1;1.3;7.1
302.0;107;232.0;1.5;0.9;2.1;1.9;12.6
;Haaren;;;;;;
417.0;108;5576.0;0.6;0.4;1.3;1.3;2.4
397.0;109;808.0;1.0;0.7;2.0;1.5;4.3
302.0;110;413.0;1.1;0.8;3.6;1.3;3.7
273.0;111;198.0;1.6;1.0;1.8;1.6;6.6
319.0;112;1255.0;0.9;0.7;1.9;1.8;2.8
290.0;113;1098.0;1.9;0.7;1.0;1.7;1.1
208.0;114;637.0;1.3;0.7;1.9;1.3;1.5
349.0;115;533.0;1.2;0.6;1.7;5.0;5.6
339.0;116;1437.0;0.7;0.7;1.6;2.2;2.4
593.0;117;3005.0;0.8;0.6;1.4;1.4;2.4
340.0;118;242.0;1.4;0.9;1.4;3.7;7.9
269.0;119;269.0;1.7;0.9;2.6;1.4;4.5
;Heerhugowaard;;;;;;
171.0;120;1934.0;0.8;0.6;1.4;1.8;2.6
412.0;121;158.0;1.6;0.8;1.5;4.2;3.0
420.0;122;1305.0;1.1;0.6;1.3;3.1;1.5
185.0;123;1249.0;1.0;0.7;1.3;1.9;2.9
328.0;124;261.0;1.3;0.8;1.8;1.8;2.6
271.0;125;988.0;1.1;1.0;2.9;2.4;28.2
275.0;126;1758.0;0.7;0.6;2.7;2.5;1.8
333.0;127;3108.0;0.7;0.6;1.3;2.0;3.6
243.0;128;1339.0;0.9;0.7;1.9;2.1;2.1
341.0;129;1430.0;1.0;0.6;3.2;2.1;2.8
351.0;130;432.0;1.3;1.0;1.4;0.6;4.2
344.0;131;578.0;1.1;0.7;1.3;1.7;11.1
346.0;132;1736.0;0.9;0.6;1.4;1.8;2.3
389.0;133;167.0;1.3;0.8;2.3;1.2;11.5
398.0;134;2013.0;0.8;0.5;2.1;1.7;1.8
309.0;135;330.0;1.1;0.8;2.1;1.7;14.9
307.0;136;165.0;1.7;1.0;2.1;1.2;3.3
214.0;137;101.0;1.4;0.9;3.2;0.9;3.4
290.0;138;136.0;1.9;1.1;2.5;1.5;10.3
221.0;139;438.0;1.5;0.6;3.4;1.9;4.2
288.0;140;3647.0;0.8;0.5;1.6;1.8;2.0
295.0;141;228.0;1.5;0.8;4.0;1.6;5.1
418.0;142;917.0;1.9;0.8;2.9;2.4;2.5
392.0;143;2589.0;0.9;0.6;1.8;2.4;7.6
246.0;144;137.0;2.6;1.0;3.2;2.0;46.4
346.0;145;1591.0;0.8;0.6;1.5;1.6;11.2
379.0;146;442.0;1.2;0.9;3.0;1.5;8.0
275.0;147;388.0;1.5;0.7;2.3;1.5;2.3
291.0;148;351.0;0.9;0.7;1.1;0.9;2.4
364.0;149;2662.0;0.8;0.5;1.0;1.3;6.7
171.0;150;2069.0;0.8;0.7;1.3;2.0;1.9
332.0;151;287.0;1.3;0.8;2.3;1.3;5.2
316.0;152;3833.0;1.5;0.5;1.6;1.3;7.4
331.0;153;385.0;1.3;0.8;1.9;1.0;10.9
340.0;154;414.0;1.1;0.7;1.3;1.7;8.0
302.0;155;266.0;1.5;1.0;1.9;1.9;5.2
;Landerd;;;;;;
212.0;156;1506.0;0.7;0.7;1.5;1.8;2.1
492.0;157;515.0;0.8;0.8;1.2;1.9;8.1
;Langedijk;;;;;;
410.0;158;1203.0;0.9;0.8;1.4;1.5;6.6
781.0;159;929.0;1.0;0.6;1.0;1.1;5.2
204.0;160;528.0;1.4;0.6;2.8;3.0;3.2
345.0;161;5724.0;0.6;0.5;1.5;2.2;1.9
362.0;162;2389.0;1.1;0.5;1.4;2.1;4.2
340.0;163;2351.0;0.7;0.5;1.4;1.4;2.2
259.0;164;355.0;1.2;0.8;2.5;2.9;3.0
281.0;165;221.0;1.4;1.1;1.8;1.0;10.6
391.0;166;525.0;0.8;0.8;1.7;2.3;6.1
326.0;167;758.0;1.0;0.8;1.2;1.5;7.1
357.0;168;1466.0;0.8;0.7;1.5;1.1;6.1
373.0;169;160.0;1.6;1.1;3.1;1.1;4.8
312.0;170;476.0;0.8;0.6;1.1;2.0;12.0
384.0;171;192.0;1.7;1.1;6.6;1.6;15.3
;Loppersum;;;;;;
296.0;172;234.0;1.2;1.0;1.9;1.1;6.3
348.0;173;387.0;1.2;0.7;2.4;1.1;7.7
272.0;174;526.0;1.1;0.8;1.7;1.9;7.8
336.0;175;425.0;1.2;0.7;1.6;1.4;14.1
266.0;176;4044.0;1.4;0.6;1.7;1.7;12.7
258.0;177;2172.0;0.7;0.6;1.9;2.4;2.6
325.0;178;375.0;1.3;0.7;2.8;2.4;8.7
299.0;179;695.0;0.9;0.8;2.3;1.6;1.8
345.0;180;449.0;1.4;0.7;1.9;1.8;13.9
249.0;181;626.0;1.1;0.9;1.9;1.7;3.0
231.0;182;1017.0;1.0;0.6;2.4;1.4;1.8
419.0;183;413.0;0.9;0.6;2.6;1.1;6.4
265.0;184;99.0;2.6;1.1;2.7;1.6;6.9
206.0;185;219.0;1.5;0.9;2.2;1.7;3.6
;Mill en Sint Hubert;;;;;;
282.0;186;234.0;1.3;0.9;2.3;1.8;5.8
345.0;187;246.0;1.3;0.9;2.6;2.1;8.6
253.0;188;344.0;1.2;1.0;2.2;1.1;5.1
370.0;189;368.0;1.0;0.9;6.9;0.6;7.3
349.0;190;459.0;1.0;0.8;3.1;0.7;1.9
309.0;191;417.0;1.1;1.0;2.8;1.7;2.6
315.0;192;173.0;2.2;0.8;2.3;1.3;7.9
292.0;193;2757.0;0.8;0.6;2.5;1.7;7.7
378.0;194;373.0;1.1;1.0;3.0;1.1;11.1
387.0;195;639.0;1.2;0.7;1.5;1.3;2.0
308.0;196;3392.0;0.9;0.6;1.6;2.2;1.9
242.0;197;1178.0;0.8;0.7;2.9;2.8;17.5
232.0;198;120.0;2.0;0.9;4.2;1.4;11.7
270.0;199;89.0;1.9;1.2;14.3;2.0;14.9
300.0;200;157.0;1.7;1.0;2.0;1.4;14.9
262.0;201;105.0;2.3;1.1;4.6;1.1;23.3
431.0;202;760.0;0.9;0.7;1.4;1.6;5.5
403.0;203;708.0;1.1;0.7;1.9;1.9;5.9
353.0;204;219.0;1.3;0.9;1.8;1.9;3.4
502.0;205;3496.0;0.8;0.5;1.3;1.4;3.6
416.0;206;187.0;1.5;1.0;3.3;2.0;8.3
413.0;207;406.0;1.4;0.7;1.9;2.3;2.7
207.0;208;170.0;1.6;1.0;2.3;1.7;3.3
325.0;209;245.0;1.6;0.8;1.7;1.4;3.6
280.0;210;1473.0;1.0;0.7;1.8;1.0;2.2
320.0;211;163.0;1.7;1.7;2.2;1.2;2.4
