"ID";"RegioS";"Perioden";"GemiddeldeWOZWaardeVanWoningen_98"
"1774";"GM0480";"2000JJ00";"      95"
"1775";"GM0480";"2001JJ00";"     178"
"1776";"GM0480";"2002JJ00";"     177"
"1777";"GM0480";"2003JJ00";"     177"
"1778";"GM0480";"2004JJ00";"     180"
"1779";"GM0480";"2005JJ00";"     258"
"1780";"GM0480";"2006JJ00";"     261"
"1781";"GM0480";"2007JJ00";""
"1782";"GM0480";"2008JJ00";""
"1783";"GM0480";"2009JJ00";""
"1784";"GM0480";"2010JJ00";""
"1785";"GM0480";"2011JJ00";""
"1786";"GM0480";"2012JJ00";""
"1787";"GM0480";"2013JJ00";""
"1788";"GM0480";"2014JJ00";""
"1789";"GM0480";"2015JJ00";""
"1790";"GM0480";"2016JJ00";""
"1791";"GM0480";"2017JJ00";""
"1792";"GM0480";"2018JJ00";""
"1793";"GM0480";"2019JJ00";""
"1794";"GM0480";"2020JJ00";""
"1795";"GM0480";"2021JJ00";""
"1796";"GM0480";"2022JJ00";""
"1797";"GM0480";"2023JJ00";""
"1798";"GM0739";"1995JJ00";"       ."
"1799";"GM0739";"1996JJ00";"       ."
"1800";"GM0739";"1997JJ00";""
"1801";"GM0739";"1998JJ00";""
"1802";"GM0739";"1999JJ00";""
"1803";"GM0739";"2000JJ00";""
"1804";"GM0739";"2001JJ00";""
"1805";"GM0739";"2002JJ00";""
"1806";"GM0739";"2003JJ00";""
"1807";"GM0739";"2004JJ00";""
"1808";"GM0739";"2005JJ00";""
"1809";"GM0739";"2006JJ00";""
"1810";"GM0739";"2007JJ00";""
"1811";"GM0739";"2008JJ00";""
"1812";"GM0739";"2009JJ00";""
"1813";"GM0739";"2010JJ00";""
"1814";"GM0739";"2011JJ00";""
"1815";"GM0739";"2012JJ00";""
"1816";"GM0739";"2013JJ00";""
"1817";"GM0739";"2014JJ00";""
"1818";"GM0739";"2015JJ00";""
"1819";"GM0739";"2016JJ00";""
"1820";"GM0739";"2017JJ00";""
"1821";"GM0739";"2018JJ00";""
"1822";"GM0739";"2019JJ00";""
"1823";"GM0739";"2020JJ00";""
"1824";"GM0739";"2021JJ00";""
"1825";"GM0739";"2022JJ00";""
"1826";"GM0739";"2023JJ00";""
"1827";"GM0305";"1995JJ00";"       ."
"1828";"GM0305";"1996JJ00";"       ."
"1829";"GM0305";"1997JJ00";"     141"
"1830";"GM0305";"1998JJ00";"     145"
"1831";"GM0305";"1999JJ00";"     146"
"1832";"GM0305";"2000JJ00";"     146"
"1833";"GM0305";"2001JJ00";"     238"
"1834";"GM0305";"2002JJ00";"     238"
"1835";"GM0305";"2003JJ00";"     239"
"1836";"GM0305";"2004JJ00";"     238"
"1837";"GM0305";"2005JJ00";"     359"
"1838";"GM0305";"2006JJ00";"     360"
"1839";"GM0305";"2007JJ00";"     388"
"1840";"GM0305";"2008JJ00";"     415"
"1841";"GM0305";"2009JJ00";"     426"
"1842";"GM0305";"2010JJ00";"     435"
"1843";"GM0305";"2011JJ00";""
"1844";"GM0305";"2012JJ00";""
"1845";"GM0305";"2013JJ00";""
"1846";"GM0305";"2014JJ00";""
"1847";"GM0305";"2015JJ00";""
"1848";"GM0305";"2016JJ00";""
"1849";"GM0305";"2017JJ00";""
"1850";"GM0305";"2018JJ00";""
"1851";"GM0305";"2019JJ00";""
"1852";"GM0305";"2020JJ00";""
"1853";"GM0305";"2021JJ00";""
"1854";"GM0305";"2022JJ00";""
"1855";"GM0305";"2023JJ00";""
"1856";"GM0059";"1995JJ00";"       ."
"1857";"GM0059";"1996JJ00";"       ."
"1858";"GM0059";"1997JJ00";"      60"
"1859";"GM0059";"1998JJ00";"      61"
"1860";"GM0059";"1999JJ00";"      62"
"1861";"GM0059";"2000JJ00";"      62"
"1862";"GM0059";"2001JJ00";"     100"
"1863";"GM0059";"2002JJ00";"     100"
"1864";"GM0059";"2003JJ00";"     101"
"1865";"GM0059";"2004JJ00";"     101"
"1866";"GM0059";"2005JJ00";"     154"
"1867";"GM0059";"2006JJ00";"     155"
"1868";"GM0059";"2007JJ00";"     180"
"1869";"GM0059";"2008JJ00";"     196"
"1870";"GM0059";"2009JJ00";"     202"
"1871";"GM0059";"2010JJ00";"     197"
"1872";"GM0059";"2011JJ00";"     194"
"1873";"GM0059";"2012JJ00";"     190"
"1874";"GM0059";"2013JJ00";"     180"
"1875";"GM0059";"2014JJ00";"     165"
"1876";"GM0059";"2015JJ00";"     160"
"1877";"GM0059";"2016JJ00";"     159"
"1878";"GM0059";"2017JJ00";"     164"
"1879";"GM0059";"2018JJ00";"     171"
"1880";"GM0059";"2019JJ00";"     182"
"1881";"GM0059";"2020JJ00";"     192"
"1882";"GM0059";"2021JJ00";"     206"
"1883";"GM0059";"2022JJ00";"     226"
"1884";"GM0059";"2023JJ00";"     256"
"1885";"GM0360";"1995JJ00";"       ."
"1886";"GM0360";"1996JJ00";"       ."
"1887";"GM0360";"1997JJ00";"     109"
"1888";"GM0360";"1998JJ00";"     109"
"1889";"GM0360";"1999JJ00";"     109"
"1890";"GM0360";"2000JJ00";"     109"
"1891";"GM0360";"2001JJ00";"     172"
"1892";"GM0360";"2002JJ00";""
"1893";"GM0360";"2003JJ00";""
"1894";"GM0360";"2004JJ00";""
"1895";"GM0360";"2005JJ00";""
"1896";"GM0360";"2006JJ00";""
"1897";"GM0360";"2007JJ00";""
"1898";"GM0360";"2008JJ00";""
"1899";"GM0360";"2009JJ00";""
"1900";"GM0360";"2010JJ00";""
